customer_name,contact_name,lat,lng,tags
Fort Yates,Fort Yates,46.0869408,-100.6301271,ND
Pine City,Pine City,45.8260672,-92.9685423,MN
Bangor,Bangor,44.8011821,-68.7778138,ME
Brewer,Brewer,44.7967379,-68.7614246,ME
Old Town,Old Town,44.9342349,-68.6453092,ME
Bucyrus,Bucyrus,46.0638952,-102.7882137,ND
Haynes,Haynes,45.9741705,-102.4709914,ND
Hettinger,Hettinger,46.0013946,-102.6368239,ND
Reeder,Reeder,46.1058393,-102.9454423,ND
Forman,Forman,46.1077418,-97.6364861,ND
Gwinner,Gwinner,46.2257963,-97.6625959,ND
Havana,Havana,45.95024,-97.618988,ND
Milnor,Milnor,46.2591278,-97.4562022,ND
Venturia,Venturia,45.9985882,-99.5462279,ND
Lehr,Lehr,46.2796939,-99.3523336,ND
Ellendale,Ellendale,46.0027502,-98.5270458,ND
Forbes,Forbes,45.9435847,-98.7820478,ND
Fullerton,Fullerton,46.1652468,-98.4270443,ND
Ludden,Ludden,46.0085815,-98.1253803,ND
Monango,Monango,46.1727475,-98.5945448,ND
Oakes,Oakes,46.1385787,-98.0903794,ND
Bowman,Bowman,46.1830618,-103.3949061,ND
Gascoyne,Gascoyne,46.1183391,-103.0798921,ND
Rhame,Rhame,46.2325063,-103.6554735,ND
Mound City,Mound City,45.7252697,-100.0684524,SD
Claremont,Claremont,45.6718976,-98.0156602,SD
Columbia,Columbia,45.6130241,-98.3125979,SD
Claire City,Claire City,45.8571812,-97.1036974,SD
Corona,Corona,45.3338521,-96.7631231,SD
New Effington,New Effington,45.8563481,-96.9203579,SD
Ortley,Ortley,45.332183,-97.1956377,SD
Peever,Peever,45.5430163,-96.9547996,SD
Center City,Center City,45.3938525,-92.8166024,MN
Chisago City,Chisago City,45.3735757,-92.8899376,MN
Rush City,Rush City,45.6855145,-92.9654903,MN
Calais,Calais,45.1889633,-67.2786039,ME
Eastport,Eastport,44.9061906,-66.9899785,ME
Bowdle,Bowdle,45.4530375,-99.6540068,SD
Pierpont,Pierpont,45.4955082,-97.8312098,SD
Eagle Butte,Eagle Butte,45.0024802,-101.233485,SD
Dupree,Dupree,45.0474815,-101.6009896,SD
Lena,Lena,44.9511001,-88.0467693,WI
Grove City,Grove City,45.1505185,-94.6830533,MN
Lake Hallie,Lake Hallie,44.8757938,-91.4407146,WI
Boyd,Boyd,44.9519088,-91.0348656,WI
Ellsworth,Ellsworth,44.5434095,-68.4194642,ME
Chelsea,Chelsea,45.1685864,-98.7395464,SD
Cresbard,Cresbard,45.1699736,-98.9484416,SD
Onaka,Onaka,45.1927553,-99.4662266,SD
Orient,Orient,44.9002537,-99.0892738,SD
Conde,Conde,45.1571854,-98.0975923,SD
Doland,Doland,44.8958034,-98.1006465,SD
